dataset,task_order,policy,seed,extra_judge_runs,criterion_errors_found,certified_tasks,residual_fp,residual_ff,introduced_fp,fixed_initial_fp,fixed_initial_ff,tasks_touched,new_fp_events,certified_initial_ff,budget_share,budget_cap,actual_queries,n_tasks,n_criteria,primary_criterion_errors,initial_task_errors,residual_errors,uncertified_tasks,unused_budget,gated_residual_fp,gated_residual_ff,gated_residual_errors,delayed_ff_corrections
JB GPT-5.4-mini | binary_only,release,random_criterion,0,0,1056,765,230,31,5,232,5,1314,5,0,0.2,4046,4046,1539,20229,5423,493,261,774,0,225,36,261,5
JB GPT-5.4-mini | binary_only,release,sc_natural,0,0,579,823,199,23,0,258,13,824,4,13,0.2,4046,4046,1539,20229,5423,493,222,716,0,199,23,222,0
JB GPT-5.4-mini | binary_only,release,sc_random,0,0,765,1152,96,21,0,361,15,1152,11,15,0.2,4046,4046,1539,20229,5423,493,117,387,0,96,21,117,0
JB GPT-5.4-mini | binary_only,release,sc_judge,0,0,630,1260,67,18,0,390,18,1261,33,18,0.2,4046,4046,1539,20229,5423,493,85,279,0,67,18,85,0
JB GPT-5.4-mini | binary_only,release,disagreement_only,0,1,2606,726,198,31,6,265,5,920,6,0,0.2,4046,3596,1539,20229,5423,493,229,813,450,192,36,228,5
JB GPT-5.4-mini | binary_only,release,disagreement_then_random,0,1,2685,770,185,29,6,278,7,1062,6,0,0.2,4046,4046,1539,20229,5423,493,214,769,0,179,36,215,7
JB GPT-5.4-mini | binary_only,release,sc_disagreement,0,1,1012,1464,19,10,0,438,26,1465,19,26,0.2,4046,4046,1539,20229,5423,493,29,75,0,19,10,29,0
JB GPT-5.4-mini | binary_only,predicted_fail_count,random_criterion,0,0,1056,765,230,31,5,232,5,1314,5,0,0.2,4046,4046,1539,20229,5423,493,261,774,0,225,36,261,5
JB GPT-5.4-mini | binary_only,predicted_fail_count,sc_natural,0,0,524,788,0,29,0,457,7,788,3,7,0.2,4046,4046,1539,20229,5423,493,29,751,0,0,29,29,0
JB GPT-5.4-mini | binary_only,predicted_fail_count,sc_random,0,0,661,992,0,17,0,457,19,992,12,19,0.2,4046,4046,1539,20229,5423,493,17,547,0,0,17,17,0
JB GPT-5.4-mini | binary_only,predicted_fail_count,sc_judge,0,0,518,873,1,22,1,457,14,874,24,14,0.2,4046,4046,1539,20229,5423,493,23,666,0,0,22,22,0
JB GPT-5.4-mini | binary_only,predicted_fail_count,disagreement_only,0,1,2606,726,198,31,6,265,5,920,6,0,0.2,4046,3596,1539,20229,5423,493,229,813,450,192,36,228,5
JB GPT-5.4-mini | binary_only,predicted_fail_count,disagreement_then_random,0,1,2685,770,185,29,6,278,7,1062,6,0,0.2,4046,4046,1539,20229,5423,493,214,769,0,179,36,215,7
JB GPT-5.4-mini | binary_only,predicted_fail_count,sc_disagreement,0,1,854,1270,0,3,0,457,33,1270,18,33,0.2,4046,4046,1539,20229,5423,493,3,269,0,0,3,3,0
JB GPT-5.4-mini | binary_only,random,random_criterion,0,0,1056,765,230,31,5,232,5,1314,5,0,0.2,4046,4046,1539,20229,5423,493,261,774,0,225,36,261,5
JB GPT-5.4-mini | binary_only,random,sc_natural,0,0,553,792,220,19,0,237,17,793,5,17,0.2,4046,4046,1539,20229,5423,493,239,747,0,220,19,239,0
JB GPT-5.4-mini | binary_only,random,sc_random,0,0,715,1060,130,9,0,327,27,1061,5,27,0.2,4046,4046,1539,20229,5423,493,139,479,0,130,9,139,0
JB GPT-5.4-mini | binary_only,random,sc_judge,0,0,613,1177,100,7,0,357,29,1177,30,29,0.2,4046,4046,1539,20229,5423,493,107,362,0,100,7,107,0
JB GPT-5.4-mini | binary_only,random,disagreement_only,0,1,2606,726,198,31,6,265,5,920,6,0,0.2,4046,3596,1539,20229,5423,493,229,813,450,192,36,228,5
JB GPT-5.4-mini | binary_only,random,disagreement_then_random,0,1,2685,770,185,29,6,278,7,1062,6,0,0.2,4046,4046,1539,20229,5423,493,214,769,0,179,36,215,7
JB GPT-5.4-mini | binary_only,random,sc_disagreement,0,1,945,1351,57,2,0,400,34,1352,17,34,0.2,4046,4046,1539,20229,5423,493,59,188,0,57,2,59,0
