annotation_id,corresponding_annotator_id,annotation_order,task_id,task_slot_order,method_step_order,output_id,output_quality_level,output_quality_level_order,rubric_total_points,rubric_max_points
autograder_annotation_000657,annotator_014,4,task_018,2,1,output_001360,excellent,3,2,13
autograder_annotation_000658,annotator_014,5,task_018,2,2,output_001316,intermediate,1,1,13
autograder_annotation_000659,annotator_014,6,task_018,2,3,output_001347,good,2,1,13
autograder_annotation_000663,annotator_014,10,task_015,4,1,output_001083,intermediate,1,18.5,21
autograder_annotation_000664,annotator_014,11,task_015,4,2,output_001108,good,2,19,21
autograder_annotation_000665,annotator_014,12,task_015,4,3,output_001129,excellent,3,17.5,21
autograder_annotation_000669,annotator_014,16,task_028,6,1,output_002069,good,2,5,18
autograder_annotation_000670,annotator_014,17,task_028,6,2,output_002087,excellent,3,3,18
autograder_annotation_000671,annotator_014,18,task_028,6,3,output_002059,intermediate,1,4,18
autograder_annotation_000675,annotator_014,22,task_010,8,1,output_000723,good,2,9,15
autograder_annotation_000676,annotator_014,23,task_010,8,2,output_000754,excellent,3,9,15
autograder_annotation_000677,annotator_014,24,task_010,8,3,output_000715,intermediate,1,9,15
autograder_annotation_000681,annotator_014,28,task_002,10,1,output_000083,intermediate,1,12.5,27
autograder_annotation_000682,annotator_014,29,task_002,10,2,output_000112,good,2,13.5,27
autograder_annotation_000683,annotator_014,30,task_002,10,3,output_000135,excellent,3,13,27
autograder_annotation_000687,annotator_014,34,task_004,12,1,output_000238,intermediate,1,4,13
autograder_annotation_000688,annotator_014,35,task_004,12,2,output_000252,good,2,6,13
autograder_annotation_000689,annotator_014,36,task_004,12,3,output_000290,excellent,3,7.5,13
autograder_annotation_000693,annotator_014,40,task_030,14,1,output_002204,intermediate,1,12.5,17
autograder_annotation_000694,annotator_014,41,task_030,14,2,output_002237,good,2,14,17
autograder_annotation_000695,annotator_014,42,task_030,14,3,output_002247,excellent,3,15,17
autograder_annotation_000699,annotator_014,46,task_009,16,1,output_000688,excellent,3,15,15
autograder_annotation_000700,annotator_014,47,task_009,16,2,output_000639,intermediate,1,12.5,15
autograder_annotation_000701,annotator_014,48,task_009,16,3,output_000663,good,2,14.5,15
autograder_annotation_000705,annotator_014,52,task_022,18,1,output_001610,intermediate,1,15,24
autograder_annotation_000706,annotator_014,53,task_022,18,2,output_001659,excellent,3,15,24
autograder_annotation_000707,annotator_014,54,task_022,18,3,output_001632,good,2,13.5,24
autograder_annotation_000711,annotator_014,58,task_001,20,1,output_000066,excellent,3,7.5,8
autograder_annotation_000712,annotator_014,59,task_001,20,2,output_000035,good,2,7,8
autograder_annotation_000713,annotator_014,60,task_001,20,3,output_000015,intermediate,1,6.5,8
autograder_annotation_000717,annotator_014,64,task_025,22,1,output_001855,good,2,3,6
autograder_annotation_000718,annotator_014,65,task_025,22,2,output_001878,excellent,3,2,6
autograder_annotation_000719,annotator_014,66,task_025,22,3,output_001825,intermediate,1,3.5,6
autograder_annotation_000723,annotator_014,70,task_024,24,1,output_001800,excellent,3,-4,3
autograder_annotation_000724,annotator_014,71,task_024,24,2,output_001776,good,2,0.5,3
autograder_annotation_000725,annotator_014,72,task_024,24,3,output_001772,intermediate,1,-0.5,3
autograder_annotation_000729,annotator_014,76,task_016,26,1,output_001194,excellent,3,8,11
autograder_annotation_000730,annotator_014,77,task_016,26,2,output_001191,good,2,11,11
autograder_annotation_000731,annotator_014,78,task_016,26,3,output_001170,intermediate,1,10.5,11
autograder_annotation_000735,annotator_014,82,task_008,28,1,output_000533,intermediate,1,6,9
autograder_annotation_000736,annotator_014,83,task_008,28,2,output_000564,good,2,5.5,9
autograder_annotation_000737,annotator_014,84,task_008,28,3,output_000610,excellent,3,5,9
autograder_annotation_000743,annotator_015,1,task_004,1,1,output_000280,excellent,3,7,13
autograder_annotation_000744,annotator_015,2,task_004,1,2,output_000261,good,2,5,13
autograder_annotation_000745,annotator_015,3,task_004,1,3,output_000228,intermediate,1,6,13
autograder_annotation_000749,annotator_015,7,task_014,3,1,output_001053,excellent,3,1.5,4
autograder_annotation_000750,annotator_015,8,task_014,3,2,output_001010,intermediate,1,3,4
autograder_annotation_000751,annotator_015,9,task_014,3,3,output_001052,good,2,2.5,4
autograder_annotation_000755,annotator_015,13,task_028,5,1,output_002056,intermediate,1,6,18
autograder_annotation_000756,annotator_015,14,task_028,5,2,output_002077,good,2,3,18
autograder_annotation_000757,annotator_015,15,task_028,5,3,output_002102,excellent,3,4,18
autograder_annotation_000761,annotator_015,19,task_017,8,1,output_001227,intermediate,1,5.5,15
autograder_annotation_000762,annotator_015,20,task_017,8,2,output_001287,excellent,3,7.5,15
autograder_annotation_000763,annotator_015,21,task_017,8,3,output_001269,good,2,7,15
autograder_annotation_000767,annotator_015,25,task_003,10,1,output_000194,good,2,6.5,14
autograder_annotation_000768,annotator_015,26,task_003,10,2,output_000158,intermediate,1,5,14
autograder_annotation_000769,annotator_015,27,task_003,10,3,output_000216,excellent,3,7.5,14
autograder_annotation_000773,annotator_015,31,task_030,13,1,output_002247,excellent,3,14.5,17
autograder_annotation_000774,annotator_015,32,task_030,13,2,output_002244,good,2,13,17
autograder_annotation_000775,annotator_015,33,task_030,13,3,output_002218,intermediate,1,14,17
autograder_annotation_000779,annotator_015,37,task_029,15,1,output_002110,intermediate,1,7,12
autograder_annotation_000780,annotator_015,38,task_029,15,2,output_002181,excellent,3,6.5,12
autograder_annotation_000781,annotator_015,39,task_029,15,3,output_002136,good,2,8.5,12
autograder_annotation_000787,annotator_017,4,task_004,2,1,output_000250,good,2,7,13
autograder_annotation_000788,annotator_017,5,task_004,2,2,output_000242,intermediate,1,5,13
autograder_annotation_000789,annotator_017,6,task_004,2,3,output_000286,excellent,3,7,13
autograder_annotation_000793,annotator_017,10,task_005,4,1,output_000335,good,2,18,26
autograder_annotation_000794,annotator_017,11,task_005,4,2,output_000313,intermediate,1,22,26
autograder_annotation_000795,annotator_017,12,task_005,4,3,output_000374,excellent,3,17.5,26
autograder_annotation_000799,annotator_017,16,task_002,6,1,output_000081,intermediate,1,14.5,27
autograder_annotation_000800,annotator_017,17,task_002,6,2,output_000142,excellent,3,13,27
autograder_annotation_000801,annotator_017,18,task_002,6,3,output_000104,good,2,13,27
autograder_annotation_000805,annotator_017,22,task_018,8,1,output_001331,good,2,1.5,13
autograder_annotation_000806,annotator_017,23,task_018,8,2,output_001302,intermediate,1,1.5,13
autograder_annotation_000807,annotator_017,24,task_018,8,3,output_001363,excellent,3,0.5,13
autograder_annotation_000812,annotator_018,1,task_008,1,1,output_000599,excellent,3,5,9
autograder_annotation_000813,annotator_018,2,task_008,1,2,output_000582,good,2,5,9
autograder_annotation_000814,annotator_018,3,task_008,1,3,output_000538,intermediate,1,6.5,9
autograder_annotation_000818,annotator_018,7,task_010,3,1,output_000773,excellent,3,10,15
autograder_annotation_000819,annotator_018,8,task_010,3,2,output_000726,good,2,4,15
autograder_annotation_000820,annotator_018,9,task_010,3,3,output_000708,intermediate,1,8,15
autograder_annotation_000824,annotator_018,13,task_030,5,1,output_002245,good,2,16,17
autograder_annotation_000825,annotator_018,14,task_030,5,2,output_002197,intermediate,1,14,17
autograder_annotation_000826,annotator_018,15,task_030,5,3,output_002259,excellent,3,14,17
autograder_annotation_000830,annotator_018,19,task_003,7,1,output_000215,excellent,3,8,14
autograder_annotation_000831,annotator_018,20,task_003,7,2,output_000191,good,2,7,14
autograder_annotation_000832,annotator_018,21,task_003,7,3,output_000157,intermediate,1,2.5,14
autograder_annotation_000836,annotator_018,25,task_020,9,1,output_001480,good,2,4,6
autograder_annotation_000837,annotator_018,26,task_020,9,2,output_001503,excellent,3,4,6
autograder_annotation_000838,annotator_018,27,task_020,9,3,output_001457,intermediate,1,5,6
autograder_annotation_000842,annotator_018,31,task_011,11,1,output_000795,intermediate,1,10,22
autograder_annotation_000843,annotator_018,32,task_011,11,2,output_000841,excellent,3,14,22
autograder_annotation_000844,annotator_018,33,task_011,11,3,output_000810,good,2,13,22
autograder_annotation_000848,annotator_018,37,task_018,13,1,output_001326,good,2,3,13
autograder_annotation_000849,annotator_018,38,task_018,13,2,output_001354,excellent,3,-1,13
autograder_annotation_000850,annotator_018,39,task_018,13,3,output_001315,intermediate,1,1.5,13
autograder_annotation_000854,annotator_018,43,task_007,15,1,output_000522,excellent,3,10,24
autograder_annotation_000855,annotator_018,44,task_007,15,2,output_000484,good,2,8.5,24
autograder_annotation_000856,annotator_018,45,task_007,15,3,output_000462,intermediate,1,9,24
autograder_annotation_000860,annotator_018,49,task_027,17,1,output_002006,good,2,2,22
autograder_annotation_000861,annotator_018,50,task_027,17,2,output_002027,excellent,3,1,22
autograder_annotation_000862,annotator_018,51,task_027,17,3,output_001974,intermediate,1,1,22
autograder_annotation_000866,annotator_018,55,task_013,19,1,output_000972,good,2,1.5,4
autograder_annotation_000867,annotator_018,56,task_013,19,2,output_000938,intermediate,1,1,4
autograder_annotation_000868,annotator_018,57,task_013,19,3,output_000995,excellent,3,-1,4
autograder_annotation_000872,annotator_018,61,task_019,21,1,output_001387,intermediate,1,-2,7
autograder_annotation_000873,annotator_018,62,task_019,21,2,output_001425,good,2,1.5,7
autograder_annotation_000874,annotator_018,63,task_019,21,3,output_001427,excellent,3,3,7
autograder_annotation_000878,annotator_018,67,task_022,23,1,output_001600,intermediate,1,15.5,24
autograder_annotation_000879,annotator_018,68,task_022,23,2,output_001643,good,2,15,24
autograder_annotation_000880,annotator_018,69,task_022,23,3,output_001652,excellent,3,13.5,24
autograder_annotation_000884,annotator_018,73,task_015,25,1,output_001124,excellent,3,18.5,21
autograder_annotation_000885,annotator_018,74,task_015,25,2,output_001081,intermediate,1,17,21
autograder_annotation_000886,annotator_018,75,task_015,25,3,output_001113,good,2,16,21
autograder_annotation_000890,annotator_018,79,task_028,27,1,output_002073,good,2,5.5,18
autograder_annotation_000891,annotator_018,80,task_028,27,2,output_002095,excellent,3,5.5,18
autograder_annotation_000892,annotator_018,81,task_028,27,3,output_002060,intermediate,1,5,18
autograder_annotation_000896,annotator_018,85,task_029,29,1,output_002180,excellent,3,8,12
autograder_annotation_000897,annotator_018,86,task_029,29,2,output_002146,good,2,9,12
autograder_annotation_000898,annotator_018,87,task_029,29,3,output_002109,intermediate,1,6.5,12
autograder_annotation_000905,annotator_019,4,task_013,2,1,output_000971,good,2,0,4
autograder_annotation_000906,annotator_019,5,task_013,2,2,output_000938,intermediate,1,1,4
autograder_annotation_000907,annotator_019,6,task_013,2,3,output_000984,excellent,3,-2.5,4
autograder_annotation_000911,annotator_019,10,task_026,4,1,output_001931,good,2,10.5,13
autograder_annotation_000912,annotator_019,11,task_026,4,2,output_001961,excellent,3,10.5,13
autograder_annotation_000913,annotator_019,12,task_026,4,3,output_001900,intermediate,1,10.5,13
autograder_annotation_000917,annotator_019,16,task_005,6,1,output_000356,excellent,3,22.5,26
autograder_annotation_000918,annotator_019,17,task_005,6,2,output_000346,good,2,22,26
autograder_annotation_000919,annotator_019,18,task_005,6,3,output_000308,intermediate,1,18,26
autograder_annotation_000923,annotator_019,22,task_022,8,1,output_001604,intermediate,1,14,24
autograder_annotation_000924,annotator_019,23,task_022,8,2,output_001661,excellent,3,13.5,24
autograder_annotation_000925,annotator_019,24,task_022,8,3,output_001645,good,2,14.5,24
autograder_annotation_000929,annotator_019,28,task_028,10,1,output_002097,excellent,3,3,18
autograder_annotation_000930,annotator_019,29,task_028,10,2,output_002076,good,2,4.5,18
autograder_annotation_000931,annotator_019,30,task_028,10,3,output_002054,intermediate,1,4.5,18
autograder_annotation_000935,annotator_019,34,task_008,12,1,output_000536,intermediate,1,6,9
autograder_annotation_000936,annotator_019,35,task_008,12,2,output_000584,excellent,3,5,9
autograder_annotation_000937,annotator_019,36,task_008,12,3,output_000568,good,2,5.5,9
autograder_annotation_000941,annotator_019,40,task_002,14,1,output_000096,good,2,13,27
autograder_annotation_000942,annotator_019,41,task_002,14,2,output_000079,intermediate,1,13,27
autograder_annotation_000943,annotator_019,42,task_002,14,3,output_000139,excellent,3,13,27
autograder_annotation_000950,annotator_020,4,task_027,2,1,output_001981,intermediate,1,0,22
autograder_annotation_000951,annotator_020,5,task_027,2,2,output_002017,excellent,3,1.5,22
autograder_annotation_000952,annotator_020,6,task_027,2,3,output_002012,good,2,7,22
autograder_annotation_000956,annotator_020,10,task_015,4,1,output_001139,excellent,3,17,21
autograder_annotation_000957,annotator_020,11,task_015,4,2,output_001111,good,2,17,21
autograder_annotation_000958,annotator_020,12,task_015,4,3,output_001096,intermediate,1,18,21
autograder_annotation_000962,annotator_020,16,task_013,6,1,output_000964,good,2,0.5,4
autograder_annotation_000963,annotator_020,17,task_013,6,2,output_000948,intermediate,1,1,4
autograder_annotation_000964,annotator_020,18,task_013,6,3,output_000983,excellent,3,-3,4
autograder_annotation_000968,annotator_020,22,task_024,8,1,output_001807,excellent,3,-2,3
autograder_annotation_000969,annotator_020,23,task_024,8,2,output_001779,good,2,-1.5,3
autograder_annotation_000970,annotator_020,24,task_024,8,3,output_001759,intermediate,1,1,3
autograder_annotation_000974,annotator_020,28,task_030,10,1,output_002207,intermediate,1,15,17
autograder_annotation_000975,annotator_020,29,task_030,10,2,output_002226,good,2,15,17
autograder_annotation_000976,annotator_020,30,task_030,10,3,output_002262,excellent,3,16,17
autograder_annotation_000980,annotator_020,34,task_004,12,1,output_000267,good,2,6,13
autograder_annotation_000981,annotator_020,35,task_004,12,2,output_000245,intermediate,1,5.5,13
autograder_annotation_000982,annotator_020,36,task_004,12,3,output_000288,excellent,3,7,13
autograder_annotation_000986,annotator_020,40,task_028,14,1,output_002086,excellent,3,6,18
autograder_annotation_000987,annotator_020,41,task_028,14,2,output_002043,intermediate,1,2,18
autograder_annotation_000988,annotator_020,42,task_028,14,3,output_002066,good,2,5.5,18
autograder_annotation_000992,annotator_020,46,task_012,16,1,output_000892,good,2,8.5,12
autograder_annotation_000993,annotator_020,47,task_012,16,2,output_000876,intermediate,1,6.5,12
autograder_annotation_000994,annotator_020,48,task_012,16,3,output_000926,excellent,3,7.5,12
autograder_annotation_000998,annotator_020,52,task_020,18,1,output_001509,excellent,3,2.5,6
autograder_annotation_000999,annotator_020,53,task_020,18,2,output_001458,intermediate,1,5.5,6
autograder_annotation_001000,annotator_020,54,task_020,18,3,output_001497,good,2,4,6
autograder_annotation_001004,annotator_020,58,task_006,20,1,output_000393,intermediate,1,11,12
autograder_annotation_001005,annotator_020,59,task_006,20,2,output_000407,good,2,11,12
autograder_annotation_001006,annotator_020,60,task_006,20,3,output_000434,excellent,3,11,12
autograder_annotation_001010,annotator_020,64,task_021,22,1,output_001525,intermediate,1,0,2
autograder_annotation_001011,annotator_020,65,task_021,22,2,output_001569,good,2,0,2
autograder_annotation_001012,annotator_020,66,task_021,22,3,output_001598,excellent,3,-2,2
autograder_annotation_001016,annotator_020,70,task_026,24,1,output_001962,excellent,3,9,13
autograder_annotation_001017,annotator_020,71,task_026,24,2,output_001907,intermediate,1,9,13
autograder_annotation_001018,annotator_020,72,task_026,24,3,output_001932,good,2,10.5,13
autograder_annotation_001022,annotator_020,76,task_011,26,1,output_000806,good,2,16.5,22
autograder_annotation_001023,annotator_020,77,task_011,26,2,output_000845,excellent,3,13,22
autograder_annotation_001024,annotator_020,78,task_011,26,3,output_000779,intermediate,1,15.5,22
autograder_annotation_001028,annotator_020,82,task_010,28,1,output_000731,good,2,7,15
autograder_annotation_001029,annotator_020,83,task_010,28,2,output_000767,excellent,3,7.5,15
autograder_annotation_001030,annotator_020,84,task_010,28,3,output_000702,intermediate,1,10.5,15
autograder_annotation_001034,annotator_020,88,task_005,30,1,output_000369,excellent,3,22,26
autograder_annotation_001035,annotator_020,89,task_005,30,2,output_000347,good,2,22,26
autograder_annotation_001036,annotator_020,90,task_005,30,3,output_000323,intermediate,1,19.5,26
autograder_annotation_001040,annotator_021,4,task_012,2,1,output_000882,good,2,8.5,12
autograder_annotation_001041,annotator_021,5,task_012,2,2,output_000875,intermediate,1,8.5,12
autograder_annotation_001042,annotator_021,6,task_012,2,3,output_000919,excellent,3,9.5,12
autograder_annotation_001046,annotator_021,10,task_022,4,1,output_001622,intermediate,1,12.5,24
autograder_annotation_001047,annotator_021,11,task_022,4,2,output_001646,good,2,15.5,24
autograder_annotation_001048,annotator_021,12,task_022,4,3,output_001667,excellent,3,10.5,24
autograder_annotation_001052,annotator_021,16,task_006,6,1,output_000420,good,2,11.5,12
autograder_annotation_001053,annotator_021,17,task_006,6,2,output_000437,excellent,3,10.5,12
autograder_annotation_001054,annotator_021,18,task_006,6,3,output_000387,intermediate,1,11.5,12
autograder_annotation_001058,annotator_021,22,task_005,8,1,output_000329,good,2,21.5,26
autograder_annotation_001059,annotator_021,23,task_005,8,2,output_000362,excellent,3,17.5,26
autograder_annotation_001060,annotator_021,24,task_005,8,3,output_000323,intermediate,1,21,26
autograder_annotation_001064,annotator_021,28,task_003,10,1,output_000189,good,2,3,14
autograder_annotation_001065,annotator_021,29,task_003,10,2,output_000207,excellent,3,9,14
autograder_annotation_001066,annotator_021,30,task_003,10,3,output_000151,intermediate,1,9.5,14
autograder_annotation_001070,annotator_021,34,task_010,12,1,output_000702,intermediate,1,10,15
autograder_annotation_001071,annotator_021,35,task_010,12,2,output_000742,good,2,8.5,15
autograder_annotation_001072,annotator_021,36,task_010,12,3,output_000772,excellent,3,6.5,15
autograder_annotation_001076,annotator_021,40,task_007,14,1,output_000515,excellent,3,9.5,24
autograder_annotation_001077,annotator_021,41,task_007,14,2,output_000494,good,2,9.5,24
autograder_annotation_001078,annotator_021,42,task_007,14,3,output_000477,intermediate,1,8.5,24
autograder_annotation_001082,annotator_021,46,task_028,16,1,output_002044,intermediate,1,4.5,18
autograder_annotation_001083,annotator_021,47,task_028,16,2,output_002079,good,2,0.5,18
autograder_annotation_001084,annotator_021,48,task_028,16,3,output_002108,excellent,3,7.5,18
autograder_annotation_001088,annotator_021,52,task_011,18,1,output_000787,intermediate,1,15.5,22
autograder_annotation_001089,annotator_021,53,task_011,18,2,output_000826,good,2,14,22
autograder_annotation_001090,annotator_021,54,task_011,18,3,output_000842,excellent,3,16,22
autograder_annotation_001094,annotator_021,58,task_016,20,1,output_001164,intermediate,1,11,11
autograder_annotation_001095,annotator_021,59,task_016,20,2,output_001174,good,2,10,11
autograder_annotation_001096,annotator_021,60,task_016,20,3,output_001214,excellent,3,11,11
autograder_annotation_001100,annotator_021,64,task_015,22,1,output_001123,excellent,3,19.5,21
autograder_annotation_001101,annotator_021,65,task_015,22,2,output_001100,good,2,17,21
autograder_annotation_001102,annotator_021,66,task_015,22,3,output_001097,intermediate,1,15.5,21
autograder_annotation_001106,annotator_021,70,task_008,24,1,output_000582,good,2,6,9
autograder_annotation_001107,annotator_021,71,task_008,24,2,output_000589,excellent,3,4,9
autograder_annotation_001108,annotator_021,72,task_008,24,3,output_000541,intermediate,1,6,9
autograder_annotation_001112,annotator_021,76,task_017,26,1,output_001262,good,2,8,15
autograder_annotation_001113,annotator_021,77,task_017,26,2,output_001284,excellent,3,6.5,15
autograder_annotation_001114,annotator_021,78,task_017,26,3,output_001219,intermediate,1,7.5,15
autograder_annotation_001118,annotator_021,82,task_001,28,1,output_000003,intermediate,1,7.5,8
autograder_annotation_001119,annotator_021,83,task_001,28,2,output_000058,excellent,3,7,8
autograder_annotation_001120,annotator_021,84,task_001,28,3,output_000029,good,2,7.5,8
autograder_annotation_001124,annotator_021,88,task_021,30,1,output_001582,excellent,3,-2,2
autograder_annotation_001125,annotator_021,89,task_021,30,2,output_001522,intermediate,1,-1.5,2
autograder_annotation_001126,annotator_021,90,task_021,30,3,output_001550,good,2,-0.5,2
autograder_annotation_001130,annotator_022,4,task_010,3,1,output_000773,excellent,3,10.5,15
autograder_annotation_001131,annotator_022,5,task_010,3,2,output_000732,good,2,5,15
autograder_annotation_001132,annotator_022,6,task_010,3,3,output_000722,intermediate,1,7,15
autograder_annotation_001136,annotator_022,10,task_006,9,1,output_000416,good,2,11,12
autograder_annotation_001137,annotator_022,11,task_006,9,2,output_000384,intermediate,1,11.5,12
autograder_annotation_001138,annotator_022,12,task_006,9,3,output_000447,excellent,3,11,12
autograder_annotation_001142,annotator_022,16,task_009,11,1,output_000658,good,2,12.5,15
autograder_annotation_001143,annotator_022,17,task_009,11,2,output_000685,excellent,3,14.5,15
autograder_annotation_001144,annotator_022,18,task_009,11,3,output_000635,intermediate,1,11.5,15
autograder_annotation_001148,annotator_022,22,task_012,16,1,output_000885,good,2,8.5,12
autograder_annotation_001149,annotator_022,23,task_012,16,2,output_000862,intermediate,1,9.5,12
autograder_annotation_001150,annotator_022,24,task_012,16,3,output_000919,excellent,3,10,12
autograder_annotation_001157,annotator_022,31,task_011,29,1,output_000804,good,2,12,22
autograder_annotation_001158,annotator_022,32,task_011,29,2,output_000844,excellent,3,13,22
autograder_annotation_001159,annotator_022,33,task_011,29,3,output_000794,intermediate,1,15,22
autograder_annotation_001163,annotator_023,1,task_007,1,1,output_000488,good,2,10,24
autograder_annotation_001164,annotator_023,2,task_007,1,2,output_000511,excellent,3,10,24
autograder_annotation_001165,annotator_023,3,task_007,1,3,output_000467,intermediate,1,8,24
autograder_annotation_001169,annotator_023,7,task_009,3,1,output_000668,good,2,15,15
autograder_annotation_001170,annotator_023,8,task_009,3,2,output_000631,intermediate,1,12.5,15
autograder_annotation_001171,annotator_023,9,task_009,3,3,output_000697,excellent,3,12,15
autograder_annotation_001175,annotator_023,13,task_003,5,1,output_000164,intermediate,1,5,14
autograder_annotation_001176,annotator_023,14,task_003,5,2,output_000209,excellent,3,9.5,14
autograder_annotation_001177,annotator_023,15,task_003,5,3,output_000180,good,2,6.5,14
autograder_annotation_001181,annotator_023,19,task_021,7,1,output_001576,excellent,3,-2,2
autograder_annotation_001182,annotator_023,20,task_021,7,2,output_001523,intermediate,1,-1.5,2
autograder_annotation_001183,annotator_023,21,task_021,7,3,output_001553,good,2,0,2
autograder_annotation_001187,annotator_023,25,task_001,9,1,output_000045,good,2,6.5,8
autograder_annotation_001188,annotator_023,26,task_001,9,2,output_000024,intermediate,1,7.5,8
autograder_annotation_001189,annotator_023,27,task_001,9,3,output_000050,excellent,3,7,8
autograder_annotation_001193,annotator_023,31,task_015,11,1,output_001104,good,2,18.5,21
autograder_annotation_001194,annotator_023,32,task_015,11,2,output_001126,excellent,3,16,21
autograder_annotation_001195,annotator_023,33,task_015,11,3,output_001094,intermediate,1,18.5,21
autograder_annotation_001199,annotator_023,37,task_013,13,1,output_000953,intermediate,1,-1.5,4
autograder_annotation_001200,annotator_023,38,task_013,13,2,output_000957,good,2,1,4
autograder_annotation_001201,annotator_023,39,task_013,13,3,output_001003,excellent,3,0,4
autograder_annotation_001205,annotator_023,43,task_030,15,1,output_002228,good,2,14,17
autograder_annotation_001206,annotator_023,44,task_030,15,2,output_002213,intermediate,1,14,17
autograder_annotation_001207,annotator_023,45,task_030,15,3,output_002255,excellent,3,14,17
autograder_annotation_001211,annotator_023,49,task_019,17,1,output_001441,excellent,3,3,7
autograder_annotation_001212,annotator_023,50,task_019,17,2,output_001382,intermediate,1,3,7
autograder_annotation_001213,annotator_023,51,task_019,17,3,output_001408,good,2,3,7
autograder_annotation_001217,annotator_023,55,task_017,19,1,output_001285,excellent,3,8,15
autograder_annotation_001218,annotator_023,56,task_017,19,2,output_001230,intermediate,1,6.5,15
autograder_annotation_001219,annotator_023,57,task_017,19,3,output_001260,good,2,8,15
autograder_annotation_001223,annotator_023,61,task_022,21,1,output_001653,excellent,3,16.5,24
autograder_annotation_001224,annotator_023,62,task_022,21,2,output_001605,intermediate,1,17,24
autograder_annotation_001225,annotator_023,63,task_022,21,3,output_001639,good,2,13.5,24
autograder_annotation_001229,annotator_023,67,task_006,23,1,output_000409,good,2,11,12
autograder_annotation_001230,annotator_023,68,task_006,23,2,output_000449,excellent,3,10.5,12
autograder_annotation_001231,annotator_023,69,task_006,23,3,output_000391,intermediate,1,9.5,12
autograder_annotation_001235,annotator_023,73,task_012,25,1,output_000889,good,2,8.5,12
autograder_annotation_001236,annotator_023,74,task_012,25,2,output_000933,excellent,3,9,12
autograder_annotation_001237,annotator_023,75,task_012,25,3,output_000863,intermediate,1,8.5,12
autograder_annotation_001241,annotator_023,79,task_008,27,1,output_000555,intermediate,1,5,9
autograder_annotation_001242,annotator_023,80,task_008,27,2,output_000581,good,2,5,9
autograder_annotation_001243,annotator_023,81,task_008,27,3,output_000609,excellent,3,4,9
autograder_annotation_001247,annotator_023,85,task_020,29,1,output_001500,excellent,3,5,6
autograder_annotation_001248,annotator_023,86,task_020,29,2,output_001494,good,2,5,6
autograder_annotation_001249,annotator_023,87,task_020,29,3,output_001472,intermediate,1,5,6
autograder_annotation_001256,annotator_024,4,task_007,2,1,output_000515,excellent,3,9.5,24
autograder_annotation_001257,annotator_024,5,task_007,2,2,output_000492,good,2,11.5,24
autograder_annotation_001258,annotator_024,6,task_007,2,3,output_000466,intermediate,1,7.5,24
autograder_annotation_001262,annotator_024,10,task_012,4,1,output_000923,excellent,3,8,12
autograder_annotation_001263,annotator_024,11,task_012,4,2,output_000895,good,2,9.5,12
autograder_annotation_001264,annotator_024,12,task_012,4,3,output_000863,intermediate,1,8.5,12
autograder_annotation_001268,annotator_024,16,task_003,6,1,output_000224,excellent,3,8,14
autograder_annotation_001269,annotator_024,17,task_003,6,2,output_000183,good,2,9,14
autograder_annotation_001270,annotator_024,18,task_003,6,3,output_000158,intermediate,1,5.5,14
autograder_annotation_001274,annotator_024,22,task_004,8,1,output_000276,excellent,3,7,13
autograder_annotation_001275,annotator_024,23,task_004,8,2,output_000273,good,2,8,13
autograder_annotation_001276,annotator_024,24,task_004,8,3,output_000241,intermediate,1,6.5,13
autograder_annotation_001280,annotator_024,28,task_024,10,1,output_001797,good,2,-1,3
autograder_annotation_001281,annotator_024,29,task_024,10,2,output_001811,excellent,3,-2,3
autograder_annotation_001282,annotator_024,30,task_024,10,3,output_001757,intermediate,1,0,3
autograder_annotation_001286,annotator_024,34,task_027,12,1,output_002007,good,2,7,22
autograder_annotation_001287,annotator_024,35,task_027,12,2,output_002019,excellent,3,1,22
autograder_annotation_001288,annotator_024,36,task_027,12,3,output_001975,intermediate,1,5.5,22
autograder_annotation_001292,annotator_024,40,task_019,14,1,output_001406,good,2,3,7
autograder_annotation_001293,annotator_024,41,task_019,14,2,output_001397,intermediate,1,4,7
autograder_annotation_001294,annotator_024,42,task_019,14,3,output_001444,excellent,3,-2.5,7
autograder_annotation_001298,annotator_024,46,task_021,16,1,output_001565,good,2,-1,2
autograder_annotation_001299,annotator_024,47,task_021,16,2,output_001540,intermediate,1,1,2
autograder_annotation_001300,annotator_024,48,task_021,16,3,output_001579,excellent,3,-1,2
autograder_annotation_001304,annotator_024,52,task_011,18,1,output_000784,intermediate,1,15.5,22
autograder_annotation_001305,annotator_024,53,task_011,18,2,output_000833,excellent,3,15,22
autograder_annotation_001306,annotator_024,54,task_011,18,3,output_000816,good,2,14.5,22
autograder_annotation_001310,annotator_024,58,task_010,20,1,output_000703,intermediate,1,6,15
autograder_annotation_001311,annotator_024,59,task_010,20,2,output_000763,excellent,3,10,15
autograder_annotation_001312,annotator_024,60,task_010,20,3,output_000732,good,2,6,15
autograder_annotation_001316,annotator_024,64,task_006,22,1,output_000421,good,2,11,12
autograder_annotation_001317,annotator_024,65,task_006,22,2,output_000405,intermediate,1,11,12
autograder_annotation_001318,annotator_024,66,task_006,22,3,output_000440,excellent,3,11.5,12
autograder_annotation_001322,annotator_024,70,task_018,24,1,output_001322,intermediate,1,3,13
autograder_annotation_001323,annotator_024,71,task_018,24,2,output_001343,good,2,0.5,13
autograder_annotation_001324,annotator_024,72,task_018,24,3,output_001355,excellent,3,1,13
